date,week,n_weeks,firm,sample,type_rv,type_lv,type_a,dem,n_dem,var_poll
2018-08-14,38,49,Ipsos,690,FALSE,TRUE,FALSE,0.48064918851435706,331,0.011611594926812317
2018-08-14,38,49,RsmRprts/POR,2200,FALSE,TRUE,FALSE,0.5,1100,0.0018181818181818182
2018-08-15,38,49,Ipsos,829,FALSE,TRUE,FALSE,0.4808405438813349,399,0.009664371514837128
2018-08-16,38,49,Ipsos,966,FALSE,TRUE,FALSE,0.48525798525798525,469,0.008288779000815809
2018-08-17,38,49,Ipsos,974,FALSE,TRUE,FALSE,0.4807930607187113,468,0.008225690404569946
2018-08-17,38,49,MorningCnslt,1599,TRUE,FALSE,FALSE,0.5555555555555556,888,0.0025328330206378985
2018-08-17,38,49,MnmthUnvrsty,660,TRUE,FALSE,FALSE,0.5274725274725275,348,0.006078958186516326
2018-08-18,38,49,Ipsos,901,FALSE,TRUE,FALSE,0.48822800495662955,440,0.008883947852694328
2018-08-19,38,49,Ipsos,743,FALSE,TRUE,FALSE,0.4644194756554308,345,0.010821961436297389
2018-08-20,38,49,Fox News,878,TRUE,FALSE,FALSE,0.5632183908045977,494,0.004629822196232527
2018-08-20,38,49,NBCNws/WllSJ,828,TRUE,FALSE,FALSE,0.5434782608695652,450,0.004867724867724869
2018-08-20,38,49,YouGov,1020,TRUE,FALSE,FALSE,0.5365853658536586,547,0.0039426775494886945
2018-08-20,38,49,Ipsos,602,FALSE,TRUE,FALSE,0.4689054726368159,282,0.013340631149367434
2018-08-21,39,49,Ipsos,473,FALSE,TRUE,FALSE,0.47342995169082125,224,0.0169612155042982
2018-08-21,39,49,RsmRprts/POR,2175,FALSE,TRUE,FALSE,0.5287356321839081,1150,0.0018451749734888655
2018-08-21,39,49,HarrsIntrctv,3000,TRUE,FALSE,FALSE,0.5384615384615384,2101,0.0026825396825396817
2018-08-22,39,49,Ipsos,334,FALSE,TRUE,FALSE,0.47560975609756095,159,0.024009226627246392
2018-08-23,39,49,Ipsos,2349,TRUE,FALSE,FALSE,0.5696361355081556,1338,0.0034730708967895866
2018-08-22,39,49,HarrsIntrctv,1091,TRUE,FALSE,FALSE,0.5487804878048781,598,0.0037015934357822536
2018-08-23,39,49,MorningCnslt,1251,TRUE,FALSE,FALSE,0.55,688,0.003229739440770616
2018-08-24,39,49,Ipsos,2340,TRUE,FALSE,FALSE,0.57125,1337,0.0034896654375955933
